,BR_665_620,BR_708_620,BR_708_660,BR_708_681,BR_708_673,LH_553,LH_620,LH_665,SS_665_CI,LH_673,SS_681_CI,LH_708,LH_708_,mm12,mi14,Chla
122,0.800073586,0.591967004,0.739890698,0.846085691,0.782106031,0.048852165,-0.003422309,0.0004724,0.001575415,0.000511399,-0.001673283,0.006929386,0.007666489,-0.149497496,-0.147923694,12.21
123,0.72602816,0.48230641,0.664308131,0.759166272,0.700938331,0.033397956,-0.005655731,-0.000338626,-0.000182975,0.000274809,-1.12E-06,0.001361569,0.001773249,-0.201700552,-0.182001721,14.52
124,0.755362886,0.701174705,0.928262055,1.107744836,1.036213153,0.046683997,-0.005390858,0.00151255,0.001321812,-0.000885553,-0.005173311,0.011912211,0.011308858,-0.037203421,-0.22708735,32.5
125,0.742624511,0.620403971,0.835420811,0.998983686,0.925455428,0.030503127,-0.005468929,0.00059789,0.000589799,-0.000304429,-0.002023131,0.004507469,0.004225744,-0.089668368,-0.21501684,21.52
126,0.740475963,0.459696558,0.620812263,0.738862045,0.672791313,0.017057091,-0.004718152,0.000130502,0.000266628,2.70E-05,-0.000192035,0.000445516,0.000424129,-0.233949203,-0.161115705,7.33
127,0.733888647,0.905159184,1.233374011,1.602325716,1.505449548,0.032950269,-0.004334336,0.001848451,0.001399793,-0.001228316,-0.005937695,0.011896688,0.010666122,0.104493922,-0.328214827,39.98
128,0.690782714,0.546157027,0.790635052,0.873906752,0.865423303,0.022891493,-0.002894565,8.58E-05,-0.000696258,-0.000572965,-0.000256871,0.002243923,0.002714705,-0.116922177,-0.244478025,23.1
129,0.839494057,0.62427617,0.743633817,0.822364419,0.773811404,0.029270814,0.001230171,0.000194665,0.000937312,0.000406017,-1.58E-05,0.004672163,0.006075116,-0.147029829,-0.119357647,15.97
130,0.681120363,0.461438874,0.677470384,0.758448739,0.718073046,0.025936102,-0.0054717,-0.000336352,-0.000653684,-4.69E-05,0.000196582,0.000673831,0.001038117,-0.192271422,-0.21603151,16.17
131,0.713663227,0.458687076,0.642722028,0.737008815,0.686226747,0.025556558,-0.005837378,-0.000111805,-0.000180349,9.44E-06,8.32E-05,0.000465148,0.000673829,-0.217491436,-0.184034951,10.32
132,0.713739827,0.520568578,0.729353413,0.848477273,0.786071448,0.023039558,-0.004424664,9.91E-06,-2.23E-05,-2.68E-05,-0.000543441,0.001578627,0.001614424,-0.156501606,-0.208784834,16.1
133,0.710994755,0.685871992,0.964665333,1.173730607,1.106916028,0.029693928,-0.005839948,0.000730869,0.000379265,-0.000603743,-0.002524699,0.00534407,0.004907385,-0.017985082,-0.278793341,27.06
134,0.78520187,0.823775226,1.0491254,1.298096324,1.226399374,0.025888735,-0.005962874,0.001178837,0.001009457,-0.00070422,-0.00304091,0.006292789,0.005723196,0.023973838,-0.225350174,30.56
